127.0.0.1 - - [05/Apr/2016:19:06:17 -0500] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [05/Apr/2016:19:06:18 -0500] "GET /mrpekarek_cjmeyer_WebProject1/ HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [05/Apr/2016:20:10:02 -0500] "GET /mrpekarek_cjmeyer_WebProject1/ HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [05/Apr/2016:20:30:19 -0500] "GET /mrpekarek_cjmeyer_WebProject1/ HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [05/Apr/2016:20:42:14 -0500] "GET /mrpekarek_cjmeyer_WebProject1/ HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [05/Apr/2016:20:43:06 -0500] "GET /mrpekarek_cjmeyer_WebProject1/classexercise.jsp HTTP/1.1" 200 1066
0:0:0:0:0:0:0:1 - - [05/Apr/2016:20:43:15 -0500] "GET /mrpekarek_cjmeyer_WebProject1/createtable.jsp?YourName=Megan&Rows=1&Cols=1&SubmitButton=Submit HTTP/1.1" 200 674
0:0:0:0:0:0:0:1 - - [05/Apr/2016:20:43:44 -0500] "GET /mrpekarek_cjmeyer_WebProject1/createtable.jsp HTTP/1.1" 500 3191
0:0:0:0:0:0:0:1 - - [05/Apr/2016:20:48:02 -0500] "GET /mrpekarek_cjmeyer_WebProject1/createtable.jsp HTTP/1.1" 500 3191
0:0:0:0:0:0:0:1 - - [05/Apr/2016:20:48:48 -0500] "GET /mrpekarek_cjmeyer_WebProject1/createtable.jsp HTTP/1.1" 500 3199
0:0:0:0:0:0:0:1 - - [05/Apr/2016:20:49:39 -0500] "GET /mrpekarek_cjmeyer_WebProject1/createtable.jsp HTTP/1.1" 500 2964
0:0:0:0:0:0:0:1 - - [05/Apr/2016:20:50:12 -0500] "GET /mrpekarek_cjmeyer_WebProject1/createtable.jsp HTTP/1.1" 500 2964
0:0:0:0:0:0:0:1 - - [05/Apr/2016:20:50:50 -0500] "GET /mrpekarek_cjmeyer_WebProject1/createtable.jsp HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [05/Apr/2016:20:52:53 -0500] "GET /mrpekarek_cjmeyer_WebProject1/createtable.jsp HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [05/Apr/2016:20:53:02 -0500] "GET /mrpekarek_cjmeyer_WebProject1/classexercise.jsp HTTP/1.1" 200 1066
0:0:0:0:0:0:0:1 - - [05/Apr/2016:20:53:12 -0500] "GET /mrpekarek_cjmeyer_WebProject1/createtable.jsp?YourName=Megan&Rows=1&Cols=1&SubmitButton=Submit HTTP/1.1" 200 674
0:0:0:0:0:0:0:1 - - [05/Apr/2016:20:53:18 -0500] "GET /mrpekarek_cjmeyer_WebProject1/createtable.jsp HTTP/1.1" 500 3199
0:0:0:0:0:0:0:1 - - [05/Apr/2016:21:08:00 -0500] "GET /mrpekarek_cjmeyer_WebProject1/createtable.jsp HTTP/1.1" 500 3199
0:0:0:0:0:0:0:1 - - [05/Apr/2016:21:11:45 -0500] "GET /mrpekarek_cjmeyer_WebProject1/createtable.jsp HTTP/1.1" 500 3199
0:0:0:0:0:0:0:1 - - [05/Apr/2016:21:12:09 -0500] "GET /mrpekarek_cjmeyer_WebProject1/createtable.jsp HTTP/1.1" 500 3191
0:0:0:0:0:0:0:1 - - [05/Apr/2016:21:19:11 -0500] "GET /mrpekarek_cjmeyer_WebProject1/createtable.jsp HTTP/1.1" 500 3186
0:0:0:0:0:0:0:1 - - [05/Apr/2016:21:19:50 -0500] "GET /mrpekarek_cjmeyer_WebProject1/createtable.jsp HTTP/1.1" 500 3181
0:0:0:0:0:0:0:1 - - [05/Apr/2016:21:24:07 -0500] "GET /mrpekarek_cjmeyer_WebProject1/createtable.jsp HTTP/1.1" 500 3181
0:0:0:0:0:0:0:1 - - [05/Apr/2016:21:30:36 -0500] "GET /mrpekarek_cjmeyer_WebProject1/createtable.jsp HTTP/1.1" 500 3181
